AO,BE
GNK Dinamo Zagreb II,NK Dinamo Zagreb 2
Karpaty Lviv,Karpaty
Lupa Roma,Lupa Roma
Lyn Fotball,Lyn
Miedz Legnica,Legnica
Notts County,Notts County
Port Vale,Port Vale
RCP Valverdeno,RCP Valverdeno
Radnicki Nis,Radnicki Nis
Real Racing Club Santander II,Santander B
SEF Torres,Torres
Santa Iria,Santa Iria
Sokol Ostroda,Ostroda
Stumbras Kaunas,Stumbras
Valerenga B,Valerenga 2
Waasland Beveren,Waasland-Beveren
Assi IF (W),Assi W
Bastia Calcio,Bastia
Bodo Glimt,Bodo/Glimt
Brechin City,Brechin
CD Toledo,Toledo
Catania,Catania
Chojniczanka Chojnice,Chojniczanka
East Fife,East Fife
Eastern Long Lions,Eastern AA
FC Inhulets Petrove,Inhulets
FK Syzran 2003,Syzran
Gremio Porto Alegrense RS,Gremio
IR Tanger,IR Tanger
Kaposvari FC,Kaposvar
Maribor,Maribor
Mouloudia Oujda,Mouloudia Oujda
Sandefjord,Sandefjord
Sion,Sion
Sporting Uxama,Sporting Uxama
TSG 1899 Hoffenheim (W),Hoffenheim W
Unionistas de Salamanca CF,Unionistas
Youssoufia Berrechid,Youssoufia Berrechid
AD Union Adarve,Union Adarve
ASK Bravo,Bravo
Angrense,SC Angrense
CF Monterrey,Monterrey
Excursionistas,Excursionistas
FC Kaluga,Kaluga
FC Koniz,Koniz
FC Langenegg,Langenegg
GSD Ghivizzano Borgo a Mozzano,Ghivizzano Borgo
Haugesund,Haugesund
Hisingsbacka FC,Hisingsbacka
Karlbergs BK,Karlbergs
Luftetari Gjirokaster,Luftetari Gjirokastra
Melilla UD,Melilla
Real Valladolid B,Valladolid B
Rekord Bielsko-Biala,Bielsko-Biala
SC Farense,SC Farense
SC Heerenveen,Heerenveen
Swindon Town,Swindon
Trelissac,Trelissac
Walsall,Walsall
ATSV Stadl Paura,Stadl Paura
Alianza San Salvador,Alianza FC
Beerschot Wilrijk,Beerschot Wilrijk
Birkirkara FC,Birkirkara
CD Roda,Roda
Chennai City,Chennai City
FC Oss,Oss
Fastav Zlin U19 (N),FC Fastav Zlin U19
General Lamadrid,General Lamadrid
Hamrun Spartans,Hamrun
Hapoel Iksal,Hapoel Iksal Imad
IF Elfsborg,Elfsborg
Indian Arrows,Indian Arrows
Instituto de Cordoba,Instituto
Kustosija,Kustosija
MLKS Znicz Biala Piska,Biala Piska
NK Dugopolje,Dugopolje
NK Varazdin,Varazdin
Red Star Saint Ouen,Red Star
Rustavi,Rustavi
SC Schwaz,Schwaz
SV Mattersburg Am,Mattersburg (Am)
Saint Patricks Athletic,St. Patricks
Santos Laguna,Santos Laguna
Siracusa,Siracusa
Sochaux,Sochaux
Torino U19,Torino U19
Trelleborgs FF,Trelleborgs
Union Espanola,U. Espanola
Universidad De Concepcion,U. De Concepcion
Zaglebie Lubin SSA II,Zaglebie 2
Academica Coimbra,Academica
Ascoli Picchio,Ascoli
Brabrand,Brabrand
CD Ebro (N),Ebro
Canuelas,Canuelas
Carpi,Carpi
Centro Deportivo Municipal,Dep. Municipal
Chornomorets Odessa,Ch. Odessa
Cremonese,Cremonese
Dalkurd FF,Dalkurd
Defensores de Belgrano,Def. de Belgrano
Empoli U19,Empoli U19
FC Dordrecht (R),Jong Dordrecht
FK Tuzla City,Tuzla City
GKS Gornik Leczna,Leczna
Hellas Verona,Verona
Hibernians Paola,Hibernians
IF Limhamn Bunkeflo (W),Bunkeflo W
Inter Milan U19,Inter U19
Kariana Erden,Kariana Erden
Kerala Blasters,Kerala Blasters
Libertad,Libertad Asuncion
Lille,Lille
Limerick,Limerick
Ludogorets Razgrad B,Ludogorets II
Machine Sazi,Machine Sazi
Mansfield Town,Mansfield
Moreirense,Moreirense
Nacional Asuncion,Nacional Asuncion
Norrby If,Norrby
Orgryte,Orgryte
Osijek II,Osijek 2
PAOK,PAOK
PAS Giannina,Giannina
Penafiel,Penafiel
Stal Stalowa Wola (N),S. Wola
Start IK,Start
TSV St Johann,Johann
Union Kleinmunchen (W),Kleinmunchen W
Varbergs BoIS,Varbergs
Venezia,Venezia
Zenit St. Petersburg,Zenit Petersburg
AS Roma (W),AS Roma W
Akademija Pandev,Akademija Pandev
Al Jeel (N),Al Jeel
Alashkert FC,Alashkert
Anadia FC,Anadia
Ararat Armenia,Ararat-Armenia
Artsakh FC,Artsakh
Atlantas Klaipeda,Atlantas
Ayr United,Ayr
Backa Palanka,Backa
Belasica Strumica,Belasica
Besiktas JK,Besiktas
Blekitni Stargard Szczecinski,Blekitni Stargard
Bromley,Bromley
Budaiya,Al-Budaiya
CD Azuaga,Azuaga
CF Reus Deportiu II,Reus Deportiu B
CS Hammam Lif,Hammam-Lif
Catanzaro,Catanzaro
Cesena,Cesena
FC Kyzylzhar,Kyzylzhar
FCV Dender,Dender
FK Crvena Zvezda,FK Crvena zvezda
FK Cukaricki Belgrade,Cukaricki
FK Macva Sabac,Macva
FK Rad Belgrade,Rad Beograd
FK Radnicki Nis,Radnicki Nis
FK Radnik Surdulica,Radnik
FK Shkupi,Shkupi
FK Vojvodina Novi Sad,Vojvodina
FK Vozdovac Beograd,FK Vozdovac
IK Sirius FK,Sirius
Lada Tolyati,Lada Togliatti
Llaneros FC Villavicencio,Llaneros
Merida AD,Merida AD
OFC Pomorie,Pomorie
Omonia Nicosia,Omonia
Point Fortin FC,Point Fortin
Radomiak Radom,Radomiak Radom
Rapide Club Oued Zem,Rapide Oued Zem
Real Oviedo B,R. Oviedo B
SC Eendracht Aalst,Aalst
SC Meda,Meda
Silkeborg IF,Silkeborg
Sony Sugar,Sony Sugar
Tarup-Paarup,Tarup-Paarup
UPC Tavagnacco (W),Tavagnacco W
Universitario Deportes,U. de Deportes
Vitebsk,Vitebsk
W Connection (N),W Connection
Yuen Long FC,Yuen Long
AD Universidad De Oviedo,Universidad Oviedo
Al Arabi,Al Arabi
Al Nahda (OMA),Al Nahda
Al Oruba (OMA),Al Oruba
Al Shabab (OMA),Al-Shabab
Arroyo CP,Arroyo
Borneo (N),Pusamania Borneo
CD Ardoi,CD Ardoi
CD Boiro,Boiro
CD Cristo Atletico,Cristo Atletico
CD La Granja,La Granja
CD Leonesa II,Leonesa 2
CD Murense,Murense
CD Naval,Naval Reinosa
Caen,Caen
Caykur Rizespor,Rizespor
Churchill Brothers,Churchill Brothers
Club Atletico Cirbonero,Cirbonero
Dallas,FC Dallas
Djurgardens IF,Djurgarden
EI San Martin,El San Martin
FBC Melgar,FBC Melgar
FC Santfeliuenc,Santfeliuenc
FK Kraluv Dvur,Kraluv Dvur
Gazelec Ajaccio,GFC Ajaccio
IF Brommapojkarna,Brommapojkarna
Jerez CF,Jerez CF
KV Kortrijk,Kortrijk
Lyon (W),Lyon W
Maastricht,Maastricht
Melbourne Victory (W),Melbourne Victory W
Motherwell,Motherwell
Muleno CF,Muleno
Newcastle Jets (W),Newcastle W
Pasaia Kirol Elkartea,Pasaia
Preussen Munster,Preussen Munster
Real Kashmir,Real Kashmir
SD Deusto,SD Deusto
SD San Pedro,SD San Pedro
SD Tenisca,SD Tenisca
SKN St Polten Juniors,St. Polten (Am)
SRD Vimenor CF,Vimenor
SV Zulte Waregem,Waregem
Sandnes Ulf,Sandnes
Shillong Lajong,Lajong
Sileks Kratovo,Sileks
Sohar,Sohar
St. Mirren,St. Mirren
Standard Liege,St. Liege
UD Gijon Industrial,Gijon Industrial
UD Llanera,Llanera
UD San Claudio,San Claudio
UD San Lorenzo de Flumen,San Lorenzo Flumen
UD Santa Marta,Santa Marta Tormes
UD Tamaraceite,Tamaraceite
VST Volkermarkt,Volkermarkt
Villanueva CF,Villanueva CF
Al Shahaniya,Al-Shahaniya
CA Lugano,Lugano
CD Huarte,Huarte
East Bengal Club,East Bengal
Eskilstuna United DFF (W),Eskilstuna United W
FK Mladost Lucani,Mladost
FK Napredak Krusevac,Napredak
Hamilton Academical,Hamilton
Hammarby IF,Hammarby
Juve Stabia,Juve Stabia
Kaluga,Kaluga
Kilmarnock,Kilmarnock
Lajong SC,Lajong
Minerva Punjab,Minerva
Moghreb Athletic Tetouan,Moghreb Tetouan
Perth Glory,Perth Glory
Saint Johnstone FC,St Johnstone
Shakhter Karagandy,Shakhtar Karagandy
Sioni Bolnisi,Bolnisi
Slavia Praha,Slavia Prague
Vitkovice,Vitkovice
1. FC Slovacko U19,Slovacko U19
AC Horsens,Horsens
AC Nagano Parceiro (W),Parceiro Nagano W
AC Tuttocuoio 1957,Tuttocuoio
AD Ceuta,Ceuta
AD Ceuta FC,Ceuta
AD Fafe,AD Fafe
AD Universidad de Oviedo,Universidad Oviedo
AR Sao Martinho,Sao Martinho
AS Lucchese Libertas,Lucchese
AS Trencin,Trencin
ASD SS Nola 1925,SS Nola 1925
ASD San Gimignano Sport,Sangimignano Sport
ASK Ebreichsdorf,Ebreichsdorf
AZS PWSZ Biala Podlaska  (W),Biala Podlaska W
AZS Wroclaw (W),AZS Wroclaw W
Aalesund FK,Aalesund
Abha,Abha
Achilles `29 (W),Achilles 29 W
Akzhayik,FK Akzhayik
Al Ain Al Bahah,Al Ain
Al Arabi Al Mansouriah,Al Arabi
Al Faisaly Amman,Al-Faisaly Amman
Al Ittihad Alexandria,Al Ittihad
Al Sadd,Al-Sadd
Al Shabab Barka,Al-Shabab
Al Wahda Abu Dhabi (N),Al Wahda
Alaves,Alaves
Alaves B,Alaves B
Alcoyano,Alcoyano
Almagro CF,Almagro
Almirante Brown (N),Almirante Brown
Amora FC,Amora
Antequera CF,Antequera
Argentino de Merlo,Argentino de Merlo
Atarfe Industrial CF,Atarfe Industrial
Atletico Malaga (W),Malaga W
Atletico Union Guimar,Atletico Union Guimar
BK Avarta,Avarta
BSK Bijelo Brdo,Bijelo Brdo
Barakaldo CF,Barakaldo
Barcelona (W),Barcelona W
Barnet,Barnet
Bayer Leverkusen,Bayer Leverkusen
Bayern Munich (W),Bayern Munich W
Becamex Binh Duong,Binh Duong
Borussia Monchengladbach (W),B. Monchengladbach W
Botev Vratsa,Botev Vratsa
Budapest Honved,Honved
Bury,Bury
CA All Boys,All Boys
CA Atenas San Carlos,Atenas
CA Atletico Pueblonuevo,Pueblonuevo
CA Deportivo Paraguayo,Deportivo Paraguayo
CA Independiente de La Chorrera,Independiente
CA Mitre,Club Atletico Mitre
CA Osasuna,Osasuna
CA Progreso,Progreso
CD Artistico Navalcarnero,Navalcarnero
CD Cabecense,Cabecense
CD Calamonte,CD Calamonte
CD Guarnizo,Guarnizo
CD Illueca,CF Illueca
CD La Virgen del Camino,La Virgen
CD Ocotal,Ocotal
CE Sabadell,Sabadell
CF Badalona,Badalona
CF Panaderia Pulido,Panaderia Pulido San Mateo
CF Peralada,Peralada
CF Peralada-Girona B,Peralada
CF San Agustin del Guadalix,San Agustin
CP Cacereno,Cacereno
CS Maritimo,Maritimo
Cagliari Calcio U19,Cagliari U19
Carlstad United,Carlstad
Casa Pia,Casa Pia
Celaya,Celaya
Central Ballester,Central Ballester
Central Coast Mariners,Central Coast Mariners
Central FC (N),Central FC
Cerro Porteno,Cerro Porteno
Chelsea,Chelsea
Chongqing Dangdai Lifan,Chongqing Lifan
Cincinnati,Cincinnati
Club Atletico Espeleno,Atletico Espeleno
Club Comunicaciones,Comunicaciones
Club Defensores de Cambaceres,Def. de Cambaceres
Club Portugalete,Portugalete
Cordoba CF,Cordoba
Cordoba CF II,Cordoba B
Coruxo,Coruxo FC
Cultural Santa Rosa,Santa Rosa
Dalian Boyoung,Dalian Boyoung
Dalum IF,Dalum IF
Defensores De Belgrano,Def. de Belgrano
Defensores De Pronunciamiento,Def. Pronunciamiento
Degerfors IF,Degerfors
Dep. Municipal,Municipal
Deportes Copiapo,Copiapo
Deportivo Binacional (N),Binacional
Deportivo Santani (N),Deportivo Santani
Domzale,Domzale
Dover Athletic,Dover Ath.
Doxa Katokopia,Doxa
Dreams FC,Dreams
Dubnica,Dubnica
Dunakanyar-Vac,Vac
Dynamo Moscow,Dynamo Moscow
EDMF Churra,EDMF Churra
Emmen (R),Jong FC Emmen
Ermis,Ermis
Everton,Everton
Extremadura UD II,Extremadura UD B
FC Alverca,FC Alverca
FC Arges,Arges Pitesti
FC Astana,FC Astana
FC Cartagena,Cartagena
FC Cartagena II,Cartagena B
FC Dolni Benesov,Dolni Benesov
FC Khimki 2,Khimki 2
FC Lendorf,Lendorf
FC Mariupol,Mariupol
FC Pedras Rubras,Pedras Rubras
FC Ponsacco 1920,Ponsacco
FC Stade Nyonnais,Stade Nyonnais
FC Tsarsko Selo 2015,Tsarsko Selo
FC Twente Enschede,Twente
FC Wels,Wels
FF Jaro,Jaro
FK Cukaricki,Cukaricki
FK Inter Bratislava,I. Bratislava
FK Kolomna,Kolomna
FK Krupa,Krupa
FK Kukesi (N),Kukesi
FK Leningradets,Leningradets
FK Lokomotiv-Kazanka,Lokomotiv-Kazanka
FK Mjolner,Mjolner
FK Panevezys,FK Panevezys
FK Qizilqum Zarafshon,Qizilqum
FK Radnik Bijeljina,Radnik Bijeljina
FK Saturn Ramenskoye,Saturn Ramenskoye
FK Spartaks Jurmala,Spartaks
FK TJ Stechovice,Stechovice
FK Trakai B,Trakai 2
FK Varnsdorf,Varnsdorf
FK Vidar,Vidar
FK Viktoria Zizkov,Zizkov
FK Vlasim,Vlasim
Falkenbergs FF,Falkenbergs
Fc Kufstein,Kufstein
Feyenoord Rotterdam (R),Jong Feyenoord
Fiorentina U19,Fiorentina U19
Fk Dolgoprudny,Dolgoprudny
Fk Legion Dynamo,Legion Dynamo
Fk Mashuk-Kmv Pyatigorsk,Mashuk
Flandria Jauregui,Flandria
Fulham,Fulham
Fundacio Esportima Grama,FE Grama
GD Chaves,Chaves
GS Loures (N),Loures
Galatasaray,Galatasaray
Getafe CF B,Getafe B
Ghivizzano Borgoamozzano,Ghivizzano Borgo
Gimnastica Torrelavega,Torrelavega
Grasshopper,Grasshoppers
Gyori,Gyor
Gzira United,Gzira
HIFK Helsinki,HIFK
HUSA Agadir,Hassania Agadir
Hajduk Split,Hajduk Split
Hamilton Wanderers,Hamilton
Hammarby IF (W),Hammarby W
Hapoel Kiryat Shmona,Shmona
Havant And Waterlooville,Havant & Waterlooville
Hebei Elite ,Hebei Elite
Hercules,Hercules
Hillerod,Hillerod
Hospitalet,L Hospitalet
Hradec Kralove,Hradec Kralove
Hradec Kralove U19,Hradec Kralove U19
Huetor Vega CD,Huetor Vega
Husqvarna FF,Husqvarna
IFK Mora FK,Mora
Independiente Rivadavia,Ind. Rivadavia
Independiente de Neuquen,Independiente de Neuquen
Internacional de Madrid CF,Internacional de Madrid
Isloch Minsk,Isloch Minsk
JA Drancy,JA Drancy
JJK Jyvaskyla,JJK Jyvaskyla
Jamshedpur FC,Jamshedpur
Jef United Ichihara Chiba (W) (N),JEF United W
Jesina,Jesina
Jong PSV,Jong PSV
Juventud Torremolinos CF,Juventud Torremolinos
Juventud Unida Gualeguaychu,CDJU Gualeguaychu
Juventus U19,Juventus U19
KF Tirana,KF Tirana
KKPK Medyk Konin (W),Medyk Konin W
KS Huragan Morag,Huragan Morag
KSK Lierse Kempenzonen,Lierse K.
Kalmar FF,Kalmar
Kaposvar,Kaposvar
Kazincbarcikai SC,Kazincbarcikai
Kitzbuhel,Kitzbuhel
Knokke,Knokke
Kolkheti 1913 Poti (N),Poti
Kopparbergs Goteborg FC (W),Goteborg W
Kriens,Kriens
Laracha CF,Laracha
Lee Man Warriors,Lee Man Warriors
Legion Dynamo,Legion Dynamo
Leningradets,Leningradets
Levante (W),Levante W
Levante UD,Levante
Levante UD (W),Levante W
Linkoping City,Linkoping City
Linkopings (W),Linkopings W
Livingston,Livingston
Ljungskile SK,Ljungskile
Llandudno,Llandudno
Lobos UPNFM (N),UPNFM
Lori FC,Lori
Louletano,Louletano
Lusitano FCV,Lusitano FCV
Lviv,Lviv
MFK Karvina,Karvina
MFK Mykolaiv,Mykolaiv
MKE Ankaragucu,Ankaragucu
MKS Elk,Elk
MKS Podlasie Biala Podlaska,Biala Podlaska
Maccabi Netanya,Netanya
Maccabi Petah Tikva,Maccabi Petah Tikva
Machine Sazi Tabriz,Machine Sazi
Magallanes,Magallanes
Manama Club (N),Manama Club
Maria Da Fonte,Maria de Fonte
Marienlyst,Marienlyst
Metalourg Bekobod,Met. Bekobod
Metz (W),Metz W
Mineros De Zacatecas,Zacatecas Mineros
Minnesota United FC,Minnesota
Mirbat SC,Mirbat
Mirbat SC (N),Mirbat
Mladost Lucani,Mladost
Monopoli,Monopoli
Montpellier HSC (W),Montpellier W
Mora CF,Mora CF
Morecambe,Morecambe
NA Hussein Dey (N),Hussein Dey
NK Celik Zenica,Celik Zenica
NK Lucko Zagreb,Lucko
Nacional Montevideo,Club Nacional
Nacional Montevideo (N),Club Nacional
Najran SC,Najran
Nancy,Nancy
Napredak Krusevac,Napredak
Neuchatel Xamax,Xamax
Newcastle United,Newcastle
Newtown,Newtown
Newtown AFC,Newtown
Notodden FK,Notodden
Nurnberg,Nurnberg
Nyiregyhaza,Nyiregyhaza
Nykobing,Nykobing
Odd BK,Odd
Oldham Athletic,Oldham
Olimpico de Totana,Club Olimpico de Totana
Olimpija Ljubljana,NK Olimpija Ljubljana
Ontinyent CF,Ontinyent
Ostia Mare,Ostia Mare
Oud-Heverlee Leuven,Leuven
PFC Chernomorets Balchik,Chernomorets Balchik
PK-35 Vantaa (W),PK-35 Vantaa W
Pandurii Targu-Jiu,Pandurii
Panetolikos,Panetolikos
Panionios GSS,Panionios
Partick Thistle,Partick Thistle
Penalva Castelo,Penalva do Castelo
Pirin Blagoevgrad,Pirin Blagoevgrad
Pobla de Mafumet CF,Pobla Mafumet
Polisportiva AZ Picerno,Picerno
Polonia Poznan (W),Polonia W
Polonia Warsaw,Polonia Warszawa
Pontevedra CF,Pontevedra
Preusen Munster,Preussen Munster
Puebla,Puebla
Pyunik Yerevan,Pyunik Yerevan
Quang Nam,BHTS Quang Nam
Queen of South,Queen of South
Queretaro,Queretaro
RB Leipzig,RB Leipzig
RC Strasbourg,Strasbourg
Raith Rovers,Raith
Rampla Juniors,Rampla Juniors
Ranheim,Ranheim
Rapido De Bouzas,Rapido de Bouzas
Ready,Ready
Real Monarchs SLC,Real Monarchs
Real Murcia II,Real Murcia B
Reno,Reno
Renova Dzepciste,Renova
Resovia Rzeszow,R. Rzeszow
Rhyl,Rhyl
Rimini,Rimini
Ringkobing IF,Ringkobing
Rodez AF (W),Rodez W
Rosenborg B,Rosenborg 2
Rosengard,Rosengard
Ross County,Ross County
Royal Excelsior Virton,Virton
Rukh Vynnyky,Rukh Vynnyky
SBV Excelsior,Excelsior
SC Braga,Braga
SC Heerenveen (W),Heerenveen W
SC Preussen Munster,Preussen Munster
SCU Torreense,Torreense
SD Atletico Albericia,Atletico Albericia
SD Gernika Club,Gernika
SD Logrones,SD Logrones
SFC Minerva,Minerva
SFC Opava,Opava
SGS Essen 19/68 (W),SGS Essen W
SK Jiskra Rymarov,Rymarov
SK Sokol Brozany,Brozany
SK Viktorie Jirny,Jirny
SS Reyes,San Sebastian Reyes
SV Grodig,Grodig
SV Meppen,Meppen
SV Worgl,SV Worgl
Saint Louis FC,Saint Louis FC
San Donato Tavarnelle,San Donato
San Fernando CDI,San Fernando
San Lorenzo De Alem,San Lorenzo Alem
San Marcos de Arica,San Marcos de Arica
Santa Gema FC,Santa Gema
Santarcangelo,Santarcangelo
Sarmiento De Resistencia,Sarmiento Resistencia
Sarmiento Junin,Sarmiento Junin
Sarmiento Resistencia,Sarmiento Resistencia
Savignanese,Savignanese
Sc Weiz,SC Weiz
Selbak TIF,Selbak
Shrewsbury,Shrewsbury
Silla CF,Silla CF
Sivasspor,Sivasspor
Skelleftea FF,Skelleftea
Skjetten,Skjetten
Skovde AIK,Skovde AIK
Slagelse B&I,Slagelse B&I
Slovacko,Slovacko
Solihull Moors,Solihull
Song Lam Nghe An,Song Lam Nghe An
Soroksar,Soroksar
Soroksar SC,Soroksar
Southampton,Southampton
SpVgg Unterhaching,Unterhaching
Sport Club Marsala 1912,Marsala
Sport Loreto,Sport Loreto
Sporting Huelva (W),Huelva W
Sporting Lokeren,Lokeren
St. Joseph`s FC,St Josephs
Stabaek,Stabaek
Stade Tunisien,Stade Tunisien
Stenungsunds IF,Stenungsunds
Stevenage FC,Stevenage
Stromsbergs IF,Stromsbergs
Strumska Slava Radomir,Strumska Slava
Sturm Graz,Sturm Graz
Sturm Graz Am,Sturm Graz (Am)
Sv Worgl,SV Worgl
Syrianska,Syrianska
Szombathelyi Haladas,Haladas
TSG Hoffenheim,Hoffenheim
Tasman United,Tasman United
Tecnico Universitario,Tecnico U.
Tenerife,Tenerife
Teramo Calcio,Teramo
Terrassa FC,Terrassa
TiPS Vantaa (W),TiPS W
Tivoli Gardens,Tivoli
Torpedo Minsk,Torpedo Minsk
Torslanda IK,Torslanda
Tottenham Hotspur,Tottenham
Tractor Sazi,Tractor
Tshakhuma Tsha Madzivhandila,Tshakhuma
UD Lanzarote,Lanzarote
UD Las Zocas,Las Zocas
UD Ourense,UD Ourense
UD Somozas,Somozas
UE Alcudia,Alcudia
UE Sants,UE Sants
UKS SMS Lodz (W),UKS SMS Lodz W
US Sassuolo U19,Sassuolo U19
Universidad de Chile,U. De Chile
Ural Sverdlovsk Oblast 2,Ural 2
Utebo CF,Utebo FC
VVV Venlo,Venlo
Valletta FC,Valletta
Valmiera Glass VIA,Valmiera
Vancouver Whitecaps FC,Vancouver Whitecaps
Varazdin,Varazdin
Vasas SC,Vasas
Vasteras SK FK,Vasteras SK
Velez CF,Velez
Victoria Sulejowek,Sulejowek
Viktoria Zizkov,Zizkov
Vilafranquense,Vilafranquense
Villarreal CF,Villarreal
Villarrubia CF,Villarrubia
Villaverde Boetticher,SR Villaverde Boetticher
Vitoria Setubal,Setubal
Vorskla Poltava,Vorskla Poltava
W Connection,W Connection
WSC Hertha Wels,WSC Wels
Waterford,Waterford
Wazito,Wazito
Wellington Phoenix,Wellington Phoenix
Wels,Wels
Wrexham,Wrexham
Xanthi,Xanthi FC
Yupanqui,Yupanqui
Zeljeznicar,Zeljeznicar
Zenit Irkutsk,Zenit Irkutsk
Zenit St Petersburg U21,Zenit Petersburg U21
Zhenjiang Huasa FC,Zhenjiang Huasa
Zira,Zira
Zira Baku,Zira
ATSV Stadl-Paura,Stadl Paura
Airdrieonians,Airdrieonians
Ajax Amsterdam (W),Ajax W
Al Fujairah,Al Fujairah
Al Jazira (UAE),Al Jazira
Al Rayyan (N),Al Rayyan
Al Suwaiq (N),Al Suwaiq
Al Wehdat,Al Wehdat
Alania Vladikavkaz,Vladikavkaz
Albacete (W),Albacete W
Amiens SC,Amiens
Armavir,Armavir
Asker SK,Asker
Atletico Sanluqueno CF,Sanluqueno
Atletico de Madrid B,Atl. Madrid B
Atromitos,Atromitos
Baerum SK,Baerum Sportsklubb
Barnechea,Barnechea
Beijing Sinobo Guoan,Beijing Guoan
Benfica B,Benfica B
Bologna ,Bologna
Bourg En Bresse Peronnas 01,Bourg Peronnas
Breidablik UBK,Breidablik
Bronshoj,Bronshoj
Brown Adrogue,Brown Adrogue
CA Bizertin,Bizertin
CA Fenix Buenos Aires,Fenix
CA Torque,CA Torque
CAYS Defensores de Belgrano Villa Ramall,Defensores Belgrano VR
CD Chalatenago,Chalatenango
CD Huachipato,Huachipato
CD Moura,Moura AC
CD San Roque de Lepe,San Roque
CDJ Tamarite,Tamarite
CF Internacional de Madrid,Internacional de Madrid
CS General San Martin de Formosa,San Martin Formosa
Ca Atlanta,Atletico Atlanta
Cabinteely,Cabinteely
Cadiz CF,Cadiz CF
Carmarthen Town AFC,Carmarthen Town
Cd Riestra,Dep. Riestra
Chainat Hornbill,Chainat
Changchun Yatai,Changchun Yatai
Chievo ,Chievo
Chievo U19,Chievo U19
Chikhura,Chikhura
Covilha,Covilha
Criciuma EC SC,Criciuma
DRB Tadjenant,Tadjenant
Dagenham & Redbridge,Dagenham & Red.
Dagenham And Redbridge,Dagenham & Red.
Danubio,Danubio
Danubio Montevideo,Danubio
Debreceni VSC,Debrecen
Deportivo Roca,Deportivo Roca
Dinamo Moscow,Dynamo Moscow
Dinamo Vranje,Din. Vranje
Djurgardens IF (W),Djurgarden W
Dundee United,Dundee Utd
Dunfermline AFC,Dunfermline
Dynamo Ceske Budejovice U19,Ceske Budejovice U19
Egersund,Egersunds
Egersunds IK,Egersunds
Ejido,El Ejido
Ermis Aradippou,Ermis
Espanyol II,Espanyol B
Estoril Praia,Estoril
FC Chikhura Sachkhere,Chikhura
FC Dynamo Moscow U21,Dynamo Moscow U21
FC Porto,FC Porto
FC Sion,Sion
FC Torpedo Minsk,Torpedo Minsk
FC Vaduz,Vaduz
FC Zurich,Zurich
FH Hafnarfjordur,Hafnarfjordur
FK Backa,Backa
FK Sogdiana Jizak,Sogdiana
FK Zarkovo,Zarkovo
FK Znamya Truda Orekhovo-Zuyevo,Znamya Truda
Fafe,AD Fafe
Falkirk,Falkirk
Farense,SC Farense
Fiorentina ,Fiorentina
Fjolnir,Fjolnir
Flekkeroy,Flekkeroy
Floro SK,Floro
Fluminense RJ (N),Fluminense
Forfar Athletic,Forfar Athletic
Fortuna Koln,Fortuna Koln
Freiburg,Freiburg
GD Gafanha,Gafanha
Girondins de Bordeaux,Bordeaux
Glasgow Rangers,Rangers
Goias GO (N),Goias
Granada,Granada CF
Grebbestads IF,Grebbestads
Greenock Morton,Morton
Grorud IL,Grorud
HJS Akatemia,HJS Akatemia
Ham-Kam,Ham-Kam
Hapoel Ironi Kiryat Shmona,Shmona
Hartlepool,Hartlepool
Hebei CFFC,Hebei
Helsingborgs,Helsingborg
Hibernians FC Paola,Hibernians
Hodd,Hodd
IBV Vestmannaeyjar,Vestmannaeyjar
IF Gnistan,Gnistan
Inverness CT,Inverness
Iskra Danilovgrad,Iskra
Ittihad Tanger,IR Tanger
JK Tammeka Tartu,Tammeka
Justo Jose de Urquiza,Justo Jose de Urquiza
Juventud Unida de San Miguel,Juventud Unida S. M.
Juventude,Juventude
Juventude De Pedras Salgadas,Pedras Salgadas
KFUM Oslo,K. Oslo
KFUM Oslo II,KFUM-Kameratene Oslo 2
KR Reykjavik,KR Reykjavik
KaaPo Kaarina,KaaPo
Kopparbergs Goteborg (W),Goteborg W
Kriens (N),Kriens
Kristianstads FF,Kristianstads
Kristiansund,Kristiansund
Kvarnby IK,Kvarnby
LASK Linz,LASK Linz
Las Palmas B,Las Palmas B
Lazio ,Lazio
Leixoes,Leixoes
Longford Town,Longford
Luch Energiya Vladivostok,Luch
Lusitano Vildemoinhos,Lusitano FCV
Machine Sazi (N),Machine Sazi
Mafra,Mafra
Makedonija Gjorce Petrov,Makedonija GP
Managua (N),Managua FC
Managua Fc,Managua FC
Maritimo,Maritimo
Mattersburg,Mattersburg
Mezokovesd Zsory,Mezokovesd-Zsory
Mirandela,SC Mirandela
Mjallby AIF,Mjallby
Moss,Moss
MuSa,MuSa
Muang Thong United,Muang Thong Utd
Murom,Murom
Naestved BK,Naestved
Newport County AFC,Newport
OFI,OFI Crete
OFK Titograd,OFK Titograd
Olympique Lyon (W),Lyon W
Olympique de Marseille,Marseille
Orange County Blues SC,Orange County SC
Ordabasy Shymkent,Ordabasy
Orihuela,Orihuela
Osasuna,Osasuna
PFC Nesebar,Nesebar
PK Keski Uusimaa,Keski-Uusimaa
PSV Eindhoven (W),PSV W
Parma ,Parma
Partizani Tirana,Partizani
Pedras Salgadas,Pedras Salgadas
Pobeda Prilep,Pobeda
Police Tero,Police Tero
Prachuap,Prachuap
Puebla FC,Puebla
Pusamania Borneo,Pusamania Borneo
Qabala,Gabala
Queen Of The South,Queen of South
RC Recreativo de Huelva,Recreativo Huelva
